[164, 4, 9.09748218039263, 193, 'PopulationSize24', 'TourSize4', 'Mutation0.09', 'Crossover1']
[165, 1, 7.356676540630111, 169, 'PopulationSize24', 'TourSize5', 'Mutation0.09', 'Crossover1']
[166, 3, 9.09748218039263, 195, 'PopulationSize24', 'TourSize6', 'Mutation0.09', 'Crossover1']
[167, 3, 7.581495120179696, 151, 'PopulationSize24', 'TourSize7', 'Mutation0.09', 'Crossover1']
[168, 2, 6.635355971657413, 70, 'PopulationSize24', 'TourSize8', 'Mutation0.09', 'Crossover1']
[169, 1, 6.225790240118679, 66, 'PopulationSize24', 'TourSize9', 'Mutation0.09', 'Crossover1']
[170, 1, 9.09748218039263, 102, 'PopulationSize24', 'TourSize10', 'Mutation0.09', 'Crossover1']
[171, 2, 7.581495120179696, 86, 'PopulationSize24', 'TourSize11', 'Mutation0.09', 'Crossover1']
[172, 0, 7.641579656704377, 49, 'PopulationSize24', 'TourSize12', 'Mutation0.09', 'Crossover1']
[173, 1, 7.010830948650412, 78, 'PopulationSize24', 'TourSize13', 'Mutation0.09', 'Crossover1']
[174, 3, 9.09748218039263, 49, 'PopulationSize24', 'TourSize14', 'Mutation0.09', 'Crossover1']
[175, 4, 6.225790240118679, 75, 'PopulationSize24', 'TourSize15', 'Mutation0.09', 'Crossover1']
[176, 1, 7.581495120179696, 36, 'PopulationSize24', 'TourSize16', 'Mutation0.09', 'Crossover1']
[177, 5, 7.685597848296762, 60, 'PopulationSize24', 'TourSize17', 'Mutation0.09', 'Crossover1']
[178, 5, 6.212929013350832, 67, 'PopulationSize24', 'TourSize18', 'Mutation0.09', 'Crossover1']
[179, 3, 6.660433542414868, 43, 'PopulationSize24', 'TourSize19', 'Mutation0.09', 'Crossover1']
[180, 3, 7.476537479025902, 455, 'PopulationSize26', 'TourSize2', 'Mutation0.09', 'Crossover1']
[181, 3, 9.09748218039263, 353, 'PopulationSize26', 'TourSize3', 'Mutation0.09', 'Crossover1']
[182, 2, 7.471101874382642, 254, 'PopulationSize26', 'TourSize4', 'Mutation0.09', 'Crossover1']
[183, 0, 7.685597848296762, 92, 'PopulationSize26', 'TourSize5', 'Mutation0.09', 'Crossover1']
[184, 2, 7.641579656704377, 207, 'PopulationSize26', 'TourSize6', 'Mutation0.09', 'Crossover1']
[185, 1, 7.641579656704377, 130, 'PopulationSize26', 'TourSize7', 'Mutation0.09', 'Crossover1']
[186, 3, 9.09748218039263, 105, 'PopulationSize26', 'TourSize8', 'Mutation0.09', 'Crossover1']
[187, 4, 9.09748218039263, 94, 'PopulationSize26', 'TourSize9', 'Mutation0.09', 'Crossover1']
[188, 0, 6.935710625221609, 73, 'PopulationSize26', 'TourSize10', 'Mutation0.09', 'Crossover1']
[189, 3, 7.581495120179696, 95, 'PopulationSize26', 'TourSize11', 'Mutation0.09', 'Crossover1']
[190, 2, 9.09748218039263, 77, 'PopulationSize26', 'TourSize12', 'Mutation0.09', 'Crossover1']
[191, 2, 7.471101874382642, 79, 'PopulationSize26', 'TourSize13', 'Mutation0.09', 'Crossover1']
[192, 2, 7.088828193083081, 66, 'PopulationSize26', 'TourSize14', 'Mutation0.09', 'Crossover1']
[193, 1, 7.476537479025902, 81, 'PopulationSize26', 'TourSize15', 'Mutation0.09', 'Crossover1']
[194, 2, 7.476537479025902, 62, 'PopulationSize26', 'TourSize16', 'Mutation0.09', 'Crossover1']
[195, 0, 7.476537479025902, 37, 'PopulationSize26', 'TourSize17', 'Mutation0.09', 'Crossover1']
[196, 3, 7.581495120179696, 39, 'PopulationSize26', 'TourSize18', 'Mutation0.09', 'Crossover1']
[197, 1, 6.935710625221609, 43, 'PopulationSize26', 'TourSize19', 'Mutation0.09', 'Crossover1']
[198, 4, 6.26085822946012, 442, 'PopulationSize28', 'TourSize2', 'Mutation0.09', 'Crossover1']
[199, 4, 9.09748218039263, 506, 'PopulationSize28', 'TourSize3', 'Mutation0.09', 'Crossover1']
[200, 3, 7.356676540630111, 330, 'PopulationSize28', 'TourSize4', 'Mutation0.09', 'Crossover1']
[201, 2, 9.09748218039263, 195, 'PopulationSize28', 'TourSize5', 'Mutation0.09', 'Crossover1']
[202, 1, 7.685597848296762, 149, 'PopulationSize28', 'TourSize6', 'Mutation0.09', 'Crossover1']
[203, 2, 6.944800058615954, 126, 'PopulationSize28', 'TourSize7', 'Mutation0.09', 'Crossover1']
[204, 0, 7.685597848296762, 95, 'PopulationSize28', 'TourSize8', 'Mutation0.09', 'Crossover1']
[205, 4, 7.3438728745436, 117, 'PopulationSize28', 'TourSize9', 'Mutation0.09', 'Crossover1']
[206, 3, 7.581495120179696, 110, 'PopulationSize28', 'TourSize10', 'Mutation0.09', 'Crossover1']
[207, 4, 6.464772975121851, 75, 'PopulationSize28', 'TourSize11', 'Mutation0.09', 'Crossover1']
[208, 3, 6.416391094728476, 73, 'PopulationSize28', 'TourSize12', 'Mutation0.09', 'Crossover1']
[209, 4, 9.09748218039263, 73, 'PopulationSize28', 'TourSize13', 'Mutation0.09', 'Crossover1']
[210, 2, 6.32871528171942, 65, 'PopulationSize28', 'TourSize14', 'Mutation0.09', 'Crossover1']
[211, 3, 9.09748218039263, 71, 'PopulationSize28', 'TourSize15', 'Mutation0.09', 'Crossover1']
[212, 3, 6.8036817366775955, 59, 'PopulationSize28', 'TourSize16', 'Mutation0.09', 'Crossover1']
[213, 0, 6.058641947903487, 60, 'PopulationSize28', 'TourSize17', 'Mutation0.09', 'Crossover1']
[214, 1, 6.469317379411426, 68, 'PopulationSize28', 'TourSize18', 'Mutation0.09', 'Crossover1']
[215, 1, 7.641579656704377, 46, 'PopulationSize28', 'TourSize19', 'Mutation0.09', 'Crossover1']
[216, 3, 6.897269994926782, 598, 'PopulationSize30', 'TourSize2', 'Mutation0.09', 'Crossover1']
[217, 2, 7.471101874382642, 524, 'PopulationSize30', 'TourSize3', 'Mutation0.09', 'Crossover1']
[218, 4, 6.93164010603957, 411, 'PopulationSize30', 'TourSize4', 'Mutation0.09', 'Crossover1']
[219, 3, 9.09748218039263, 194, 'PopulationSize30', 'TourSize5', 'Mutation0.09', 'Crossover1']
[220, 5, 9.09748218039263, 134, 'PopulationSize30', 'TourSize6', 'Mutation0.09', 'Crossover1']
[221, 2, 7.581495120179696, 134, 'PopulationSize30', 'TourSize7', 'Mutation0.09', 'Crossover1']
[222, 2, 7.088828193083081, 82, 'PopulationSize30', 'TourSize8', 'Mutation0.09', 'Crossover1']
[223, 2, 9.09748218039263, 90, 'PopulationSize30', 'TourSize9', 'Mutation0.09', 'Crossover1']
[224, 2, 9.09748218039263, 97, 'PopulationSize30', 'TourSize10', 'Mutation0.09', 'Crossover1']
[225, 1, 6.935710625221609, 122, 'PopulationSize30', 'TourSize11', 'Mutation0.09', 'Crossover1']
[226, 1, 7.641579656704377, 89, 'PopulationSize30', 'TourSize12', 'Mutation0.09', 'Crossover1']
[227, 2, 7.641579656704377, 80, 'PopulationSize30', 'TourSize13', 'Mutation0.09', 'Crossover1']
[228, 2, 6.464772975121851, 94, 'PopulationSize30', 'TourSize14', 'Mutation0.09', 'Crossover1']
[229, 1, 6.225790240118679, 56, 'PopulationSize30', 'TourSize15', 'Mutation0.09', 'Crossover1']
[230, 0, 9.09748218039263, 43, 'PopulationSize30', 'TourSize16', 'Mutation0.09', 'Crossover1']
[231, 4, 7.641579656704377, 76, 'PopulationSize30', 'TourSize17', 'Mutation0.09', 'Crossover1']
[232, 1, 7.010830948650412, 53, 'PopulationSize30', 'TourSize18', 'Mutation0.09', 'Crossover1']
[233, 1, 6.558995757947332, 51, 'PopulationSize30', 'TourSize19', 'Mutation0.09', 'Crossover1']
[234, 2, 7.641579656704377, 591, 'PopulationSize32', 'TourSize2', 'Mutation0.09', 'Crossover1']
[235, 3, 7.685597848296762, 572, 'PopulationSize32', 'TourSize3', 'Mutation0.09', 'Crossover1']
[236, 1, 7.356676540630111, 341, 'PopulationSize32', 'TourSize4', 'Mutation0.09', 'Crossover1']
[237, 1, 7.476537479025902, 170, 'PopulationSize32', 'TourSize5', 'Mutation0.09', 'Crossover1']
[238, 0, 6.660433542414868, 207, 'PopulationSize32', 'TourSize6', 'Mutation0.09', 'Crossover1']
[239, 1, 7.010830948650412, 126, 'PopulationSize32', 'TourSize7', 'Mutation0.09', 'Crossover1']
[240, 3, 7.641579656704377, 108, 'PopulationSize32', 'TourSize8', 'Mutation0.09', 'Crossover1']
[241, 2, 7.476537479025902, 96, 'PopulationSize32', 'TourSize9', 'Mutation0.09', 'Crossover1']
[242, 4, 7.581495120179696, 122, 'PopulationSize32', 'TourSize10', 'Mutation0.09', 'Crossover1']
[243, 2, 9.09748218039263, 98, 'PopulationSize32', 'TourSize11', 'Mutation0.09', 'Crossover1']
[244, 1, 7.581495120179696, 87, 'PopulationSize32', 'TourSize12', 'Mutation0.09', 'Crossover1']
[245, 3, 7.685597848296762, 92, 'PopulationSize32', 'TourSize13', 'Mutation0.09', 'Crossover1']
[246, 5, 7.641579656704377, 110, 'PopulationSize32', 'TourSize14', 'Mutation0.09', 'Crossover1']
[247, 2, 7.088828193083081, 80, 'PopulationSize32', 'TourSize15', 'Mutation0.09', 'Crossover1']
[248, 2, 7.581495120179696, 74, 'PopulationSize32', 'TourSize16', 'Mutation0.09', 'Crossover1']
[249, 1, 6.935710625221609, 129, 'PopulationSize32', 'TourSize17', 'Mutation0.09', 'Crossover1']
[250, 0, 6.086644963587851, 53, 'PopulationSize32', 'TourSize18', 'Mutation0.09', 'Crossover1']
[251, 3, 7.010830948650412, 88, 'PopulationSize32', 'TourSize19', 'Mutation0.09', 'Crossover1']
[252, 3, 9.09748218039263, 639, 'PopulationSize34', 'TourSize2', 'Mutation0.09', 'Crossover1']
[253, 3, 7.641579656704377, 364, 'PopulationSize34', 'TourSize3', 'Mutation0.09', 'Crossover1']
